Product Id,Product Type,Product Name,Product Gender Target,Product Category,Product Season,Product Condition,Sold,In Stock,Brand Id,Brand Name,Product Material,Product Colour,Price Usd,Warehouse name,Country
P00001,Accessories,Product 1,Female,women clothing,Winter,Fair,True,False,B1,Brand D,Polyester,Green,1723.84,New York,USA
P00002,Clothing,Product 2,Unisex,men accessories,Autumn,Never Worn,False,False,B2,Brand E,Denim,Red,195.18,Milan,Italy
P00003,Clothing,Product 3,Female,men clothing,Winter,Never Worn with Tag,True,True,B5,Brand A,Silk,Black,1918.63,Berlin,Germany
P00004,Accessories,Product 4,Male,men clothing,Autumn,Very Good,False,False,B1,Brand B,Denim,Pink,1415.88,Tokyo,Japan
P00005,Clothing,Product 5,Unisex,men clothing,Summer,Fair,False,True,B3,Brand A,Wool,Black,1442.09,Paris,France
P00006,Accessories,Product 6,Unisex,men accessories,Spring,Fair,True,True,B3,Brand B,Cotton,Blue,1239.57,Milan,Italy
P00007,Clothing,Product 7,Female,men accessories,Summer,Fair,False,False,B2,Brand C,Polyester,Pink,1963.19,Paris,France
P00008,Clothing,Product 8,Male,men accessories,Spring,Never Worn,False,True,B2,Brand D,Cotton,Yellow,1278.32,Berlin,Germany
P00009,Accessories,Product 9,Unisex,women shoes,Winter,Very Good,False,False,B4,Brand D,Cotton,,98.2,Berlin,Germany
P00010,Clothing,Product 10,Male,women accessories,Winter,Good,False,True,B5,Brand C,Silk,Blue,410.73,New York,
P00011,Shoes,Product 11,Female,men clothing,Summer,Very Good,False,False,B1,Brand A,Silk,White,179.75,Milan,Italy
P00012,Accessories,Product 12,Unisex,men clothing,Spring,Good,False,True,B4,Brand B,Denim,Black,238.0,London,UK
P00013,Clothing,Product 13,Female,women shoes,Summer,Very Good,True,True,B4,Brand D,Cotton,Red,560.02,Berlin,Germany
P00014,Shoes,Product 14,Unisex,men shoes,Winter,Fair,False,False,B4,Brand B,Polyester,White,1557.54,New York,USA
P00015,Clothing,Product 15,Unisex,women shoes,Spring,Very Good,False,True,B5,Brand A,Polyester,Yellow,944.95,London,UK
P00016,Shoes,Product 16,Male,men shoes,Summer,Fair,False,False,B5,Brand A,Cotton,Red,776.59,Berlin,Germany
P00017,Clothing,Product 17,Unisex,men shoes,Spring,Good,False,True,B1,Brand B,Polyester,Yellow,414.6,Berlin,Germany
P00018,Shoes,Product 18,Male,women accessories,Winter,Never Worn,True,False,B1,Brand A,Polyester,Green,591.76,London,UK
P00019,Clothing,Product 19,Female,women clothing,Spring,Never Worn with Tag,False,True,B2,Brand B,Leather,Red,840.95,Paris,France
P00020,Shoes,Product 20,Female,women clothing,Spring,Very Good,False,False,B5,Brand A,Polyester,Green,899.24,London,UK
